"Post URL","Post Content","Is Shared Post","Number of Likes","Number of Comments","Photos"
"https://www.facebook.com/noeuxenv/posts/pfbid08KJLd9XsMu6VfT25gDc8yFkqPLZ2AmF4JWRjJSqGLxkUvAPJU2VjmmWDiz8pYQh2l","🎨 Reprise des ateliers avec Noeux Environnement 🌿

🌱Dans le cadre des actions soutenues et financées par la commune pour sensibiliser nos enfants à la découverte de la nature, les élèves de l’école maternelle Les Capucines : Petite et Moyenne Section ont participé à un atelier … “supernaturel”.

👩‍🌾Accompagnés de Chloé, animatrice de Noeux Environnement, nos petits artistes ont appris à peindre… grâce aux éléments naturels ! 🌈

🥗À partir du jus de chou rouge, ce légume révèle différentes couleurs lorsqu’on le mélange à des éléments comme du citron, du savon de Marseille ou encore des cendres de bois. Les enfants ont observé, expérimenté et créé leurs propres œuvres. 🎨

✅Ce moment ludique et pédagogique contribue en douceur, à éveiller leur curiosité et à les accompagner sur le chemin de l’éco-citoyenneté. 🌟
☀️🌈😃","YES","26","","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/585035222_1287229130116208_7600987723895515287_n.jpg?stp=cp6_dst-jpg_s590x590_tt6&_nc_cat=104&ccb=1-7&_nc_sid=833d8c&_nc_ohc=ifjIN4BFLnQQ7kNvwG1ExPK&_nc_oc=AdloVjhSRbqplQYk8GmHuiWjm3dFp5qBq_DMvZHuCrrndccFVAqyZ4Q8u4dNP3mUIQU&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_AfhVeqfBlqGZevQn-nOuWQqfRFR6ATHVX9G8hmwP-yftxQ&oe=692F710E,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/585000393_1287229556782832_306249918843768264_n.jpg?stp=cp6_dst-jpg_s590x590_tt6&_nc_cat=103&ccb=1-7&_nc_sid=833d8c&_nc_ohc=zsHqoslU0O8Q7kNvwE-2GNR&_nc_oc=AdmthvOX8vRj6jfOGRu9Vd3y3sMZIQHi2R4dmiwai4lL_K_rhM9kOhpWmTrJgwMPgy4&_nc_zt=23&_nc_ht=scontent-iad3-2.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_AfiANK1x3szumLC8qHqqai7pQezpLU3kPbEYqRUgj7bNfg&oe=692F54D3,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/585780117_1287229773449477_839832737223056688_n.jpg?stp=cp6_dst-jpg_s590x590_tt6&_nc_cat=107&ccb=1-7&_nc_sid=833d8c&_nc_ohc=G6uL8BFVJjYQ7kNvwEaHwn4&_nc_oc=AdkzSAyoe0KdPUept9FEyQzVEGEuHwAWevBJkxiR8Jk952Cls1geOlY7Pm6EOb9vZg8&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_AfgUt9zU8MFgk6VmqHTX3vceX_folQfcuXuzfslVy3S4xg&oe=692F7DF4,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/584797932_1287229763449478_8314980606020519543_n.jpg?stp=cp6_dst-jpg_s590x590_tt6&_nc_cat=107&ccb=1-7&_nc_sid=833d8c&_nc_ohc=wNyGPZijd9IQ7kNvwGRb2vL&_nc_oc=AdlfEGvlpnhobknb8tdZKpQIIDpZS-w4S20t9X6uS2LQEHi-1ZHEjHFlUeTkTx8_U74&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_AfhEspz07v4vI2NB2RzpV1QiYoh1lE6JxgbfnGe_85Fa0Q&oe=692F67F4,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/586167514_1287229620116159_6930436646593768158_n.jpg?stp=cp6_dst-jpg_s590x590_tt6&_nc_cat=103&ccb=1-7&_nc_sid=833d8c&_nc_ohc=GM5V6gFz36kQ7kNvwGbkJta&_nc_oc=AdkAMZG7jK4rhWLwZ_1nAD49MDZwm4kOAcxgsdFczMmfSsuhtt1EZIQGhWMAPHh7G9U&_nc_zt=23&_nc_ht=scontent-iad3-2.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_AfiJ9fyKJJ4KSzHZhvwhPdaJquXSCnujs8EaWv1hK_IA7g&oe=692F6B75"
"https://www.facebook.com/noeuxenv/posts/pfbid0jyJVQsCCy9g6UHmGWpXp82aP1ZJRyUvZiwYd6rifv82Kw6ZBCQGLs9yXjGNMFUqXl","Coup de pouce 👍 pour un projet pas bien loin d’une problématique que l’on peut retrouver dans nos assiettes…🙃

Il leur reste 10jours et 26% pour compléter leur campagne de lancement 🤞

Un livre jeunesse sur le thème de l’océan et de sa préservation pour les enfants dès 5 ans et pour tous les amoureux de la mer. Flipéo est un petit poisson attachant qui entraîne les enfants dans une aventure pleine d’espoir, tout en les sensibilisant à la beauté et à la fragilité du monde marin. 

Mais pour que Flipéo puisse nager jusque dans les mains des petits lecteurs, Hervé Hernu Officiel, auteur régional, et Airnewart - Graphisme et Illustration tous deux partenaires d’ Al'fosse 7 7 pour la vidéo ou le graphisme (le logo de notre bière 🍺 🤫) ont besoin de vous aussi! 
Les Editions La Petite Fabrique de Livres basée sur la côte d’opale les accompagne pour une impression faite en France ( ce qui devient rare!) 
Vous retrouverez peut être un jour Flipéo à #nausicaa ou d’autres musée nationaux qui se battent pour la préservation des fonds marins pour que la mer puisse encore nous émerveiller et nous régaler 😋! 

On compte sur vos précommandes ou votre participation pour ce projet vertueux sur👇
https://fr.ulule.com/01k5egswycfzn6b30ytsphgb7f/

Merci ter tous","YES","4","","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/584483620_1594530148637303_2691738701327469977_n.jpg?stp=cp6_dst-jpg_s590x590_tt6&_nc_cat=108&ccb=1-7&_nc_sid=833d8c&_nc_ohc=_D4-FkW5HU4Q7kNvwF06uOb&_nc_oc=AdnFxRDugr8PaxKG9PsIGfiNhNp158TJ8ICm1bhjjAnDqCNlGhNukJ8jemlCO2fYqX0&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_Afi9Pn9wcC-j6FvyNXKFIDngEjRZNBm_eKvqrv4XbOMxxA&oe=692F7158,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/585291291_1594530141970637_4574962328881340145_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=100&ccb=1-7&_nc_sid=833d8c&_nc_ohc=vNCIKhwc4_AQ7kNvwGsiNdr&_nc_oc=AdmsaIETDL-EFYhvDkwcpo_cVas5rOwBqHQmOsA2UXJEIAGmh8KY7kzEmDoEH2bKqcw&_nc_zt=23&_nc_ht=scontent-iad3-2.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_AfgTzOsUdT13S0Z471OY_0UhWGkDpEWLz-CTi6PfkQH3ww&oe=692F657E,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/584585612_1594530161970635_3084321612661368440_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=104&ccb=1-7&_nc_sid=833d8c&_nc_ohc=kAJ4pNyqi1cQ7kNvwHz2AXg&_nc_oc=Adm_E-lZtkunZPgG8-fEc2SdA4ZEdxUy-9kKqOb50_gC5JL6EdTiFaQHf5_K041H3QY&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_AfiPhunKbgB-u3Dg7oYgMrkVSjGIYDPENafQrr_zlRXjkA&oe=692F4F99,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/585107578_1594530175303967_1777744212990638736_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=105&ccb=1-7&_nc_sid=833d8c&_nc_ohc=yuymSphJl34Q7kNvwEpOJnf&_nc_oc=Adl-qnOF0-UpsrAJtsD8MSF4eTL54Of_fAkKHqw6KiP35Ol5sESQcAcFJVKljFb2LCs&_nc_zt=23&_nc_ht=scontent-iad3-2.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_AfjnDtTW2Vo49F1bmFYL0zTTNHtkio8BaaE8BmZE9S4h2A&oe=692F52CE,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/585328511_1594530211970630_1198495125145789945_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_ohc=jxW0io8ZW6EQ7kNvwHLbd1P&_nc_oc=AdmNjuY0_NssvL_FDbQC1yEXBenW0rjrSEgYmIn3PAupPVBIEjfaI5tR6Ztyh4awjg8&_nc_zt=23&_nc_ht=scontent-iad3-2.xx&_nc_gid=nq2c7UoeDwc5UmpKnRwVjw&oh=00_Afgq-sx-zuzK5FsMTCAY2G6AHsZD57VXz-WeZV62fxQhaQ&oe=692F51A2"
"https://www.facebook.com/noeuxenv/posts/pfbid0rfSBu9XEPtT7vPRSmDA6Ffn5fFL3RSvqgXwLJ4eH3NhuXvTiawzZQPxmFSuHkkGal","Plus que d'actualité, l'IAE une vraie utilité pour les femmes et les hommes!

","NO","14","",""
"https://www.facebook.com/noeuxenv/posts/pfbid02VzXQZoW7UmNnHB3v3vncJ4aBRStf1PAQbH7Z4FgAqfHJaCHSRZeNZdJuZ1DtTBNal","Le vendredi c'est JOUR DE MARCHÉ à ""La Réserve, Écolieu Vivant de l'Artois"" ! 
On vous propose : 
🍀 Une formule PANIERS  🧺
Voici la composition de cette semaine : brocolis, roquette, poireaux, navets, betteraves, radis noir. Pour toute commande les coordonnées sont sur le flyer, et c'est jusque vendredi 8h

🍀 Un POINT RETRAIT pour vos commandes sur ""LeCourtCircuit""🥕 à partir de 16h

🍀 Du VRAC toute la journée de 10h à 16h à l'entrée

A très vite !","YES","5","","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/576571080_122254234604240353_2375844779100186278_n.jpg?stp=dst-jpg_s720x720_tt6&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=GQDR5WrMe3sQ7kNvwF05Tvm&_nc_oc=AdlSnAqEM82wRZtXPKySw5WYfqDoy-GaXx7qyFJL5FczpqxNIr8YgF7WFmJjdS2fbDg&_nc_zt=23&_nc_ht=scontent-atl3-2.xx&_nc_gid=aw6eLf67jOUhJ0bMsCsNog&oh=00_Afi3iHK7fGOOXl1It8wifHRd4uvgrZINSSWUSsDkSKv-GA&oe=692F5E2F"
"https://www.facebook.com/noeuxenv/posts/pfbid02XvgchwcevAshHdu7A4GjdPqxhFkd8YD6XtnBFZ7VzwQjsQCBGSoMVruHazY7UzCyl","🎃 Samedi dernier, à la Réserve, c’était le grand moment de la pesée du concours de la plus grosse courge 🎉
Et voici le podium :
🥇 26 kg
🥈 19,790 kg
🥉 19,380 kg
Un grand merci à tous les participants venus nombreux, ainsi qu’aux bénévoles pour leur délicieuse soupe de courge 🥣
Merci également à Weldom Noeux-les-Mines et Agro Service pour leur lot!
On remet ça l’année prochaine ? 😄","NO","46","","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/575110640_1253486430155921_7170630881616260949_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=doieEPILk14Q7kNvwGKXBUQ&_nc_oc=AdmMecWxzvrzbjCybUbzMDAUGc_Ar1xttBsROi68iOV9Cfem8gDowu5WlSBGrrqKi2Q&_nc_zt=23&_nc_ht=scontent-atl3-2.xx&_nc_gid=aw6eLf67jOUhJ0bMsCsNog&oh=00_AfhY7ES4jAMLwnpXHqm-I97bofk4ovh4M9jmbtV1Qc5OYQ&oe=692F52CE"
"https://www.facebook.com/noeuxenv/posts/pfbid0e3HmFbwXL752mDBEo62MxSdoEzaDznq5jdqnK8qLzLcAVcX29y6bEsUwauJfVngl","Venez découvrir les jardins de la Réserve, Écolieu Vivant de l’Artois,  les astuces & techniques mises en place en faveur d'un sol vivant 🪴🪱🍄‍🟫🍂
N'oubliez pas de vous inscrire,  A très vite !","YES","6","","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/562157959_1234947095343188_3151350001585308606_n.jpg?stp=dst-jpg_s720x720_tt6&_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=Hi2j1-tysMsQ7kNvwHK8hHi&_nc_oc=Adlxs8Ak6YvuoNHMKpQOW6mH5rQO1_XmhCenDznLMoz29D6-3YJRzoa9vCekDQqR52U&_nc_zt=23&_nc_ht=scontent-atl3-2.xx&_nc_gid=aw6eLf67jOUhJ0bMsCsNog&oh=00_AfhqPkUSkKEIMLKoUbJQVFs9SL2eDstyrBgzcrvv1hX2nQ&oe=692F706C"
"https://www.facebook.com/noeuxenv/posts/pfbid02e7DmtY3rbJcvqCHdeD2DzvLj8LrHhoKA4HyoutCuLMyLGMWw6yB8hVfrcTYtzLDel","🚨 A la Réserve - tiers lieu géré par l'association Nœux Environnement  - sur la commune de Noeux les Mines,  tous les vendredis, vous pouvez désormais repartir avec de bons produits paysans - en direct des producteurs de la région - préalablement commandés sur LeCourtCircuit.fr !

✅ vous avez jusqu'au jeudi soir pour commander
et récupérer vos produits locaux
🕒 les vendredis de 16h à 19h
📍 au 22 bis Rue nationale à Noeux Les Mines

🎁 Pour fêter ça, on offre 10 codes promo de 5% pour les premiers à commander !
A vous de jouer avec le code BIENVENUENOEUX

🌱 La Réserve, qu'est ce que c'est ? 
C'est une ancienne friche commerciale qui a été reconstruite et entièrement pensée de façon durable. Ce lieu est un site démonstrateur de la transition écologique et solidaire, qui accueille différents types de publics (citoyens, acteurs locaux ou encore scolaires...). N'hésitez pas à y faire un tour, pour découvrir ou  apprendre de nouvelles choses sur le réemploi en récupérant votre commande de bons produits locaux. 🤩 

🥕La première c'est vendredi 17 octobre, on compte sur vous pour partager la bonne nouvelle à celles et ceux qui ne connaissent pas encore Le Court Circuit et qui vivent dans la ville/le secteur : ça aide la cause et ils vous remercieront après s'être régalés !

#produitslocaux #noeuxlesmines #laréserve #tierslieu #circuitcourtlocal","YES","12","","https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/560319580_1274370931399197_3389863097327744077_n.jpg?stp=dst-jpg_p526x296_tt6&_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=nXLwMJE0xuQQ7kNvwHtaM4a&_nc_oc=AdlONXPtBGt03qLpcfzBFNrT5uI2p1YtMnOyCwIiJuLCPjdX_JcvBT5YrseDmRfRxsY&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&_nc_gid=wtea1UR4bcktix5snZV6IA&oh=00_AfjTvsIXl6o0kbvdGYVtko0FkROROiqSJojmt8WeqDo7kA&oe=692F7C46"
"https://www.facebook.com/noeuxenv/posts/pfbid02HqMbEQpSqd7HoHWDYKK8XvmnGLkBE3DAF2X8JjhPceNCa4GYhW516tbGCFGWEkWFl","**HOUCHIN **

***La commune d'Houchin**** accueille tout au long du week-end (de 10h à 18h) ****la Fête des saveurs fermières et brassicoles ****organisée par l'****Agglomération Béthune Bruay.***

*Venez déguster des produits locaux et participer aux animations gratuites.*","YES","12","",""
"https://www.facebook.com/noeuxenv/posts/pfbid02tWty7MHJUcioKLpGbu2UtQJVd4cHQwggruW3w5fZtNjfynCTXwcxnYeHVFCTfG9yl","Nœux Environnement en place pour les 2 jours de la fête de la gastronomie à Houchin organisée par Agglo Béthune-Bruay. Venez rencontrer nos salariés et acheter de bons legumes frais, bio et locaux!!","NO","57","5","https://scontent-ord5-3.xx.fbcdn.net/v/t39.30808-6/568537222_1236843485153549_3679202220340601428_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=106&ccb=1-7&_nc_sid=833d8c&_nc_ohc=x7fArhG_Y3sQ7kNvwGKvGk2&_nc_oc=AdlPNJT2Wswr6lPnn_aMtaq-OOV8D_MCBTuAwNIervYMUUmRCw_M0Cx0FGXGSRKttwc&_nc_zt=23&_nc_ht=scontent-ord5-3.xx&_nc_gid=wtea1UR4bcktix5snZV6IA&oh=00_Afic8S8merlaid5TGCPFlhWGwsKqVO0d0R7lsvwkltGCCw&oe=692F84D0,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/568407193_1236843521820212_4529243322690688445_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=102&ccb=1-7&_nc_sid=833d8c&_nc_ohc=CG-3CH9qZe8Q7kNvwEO2jkk&_nc_oc=Adkkl8Lqw-0B4Lbrh-IBq9RxF7dYQ8Sbi2rwgbYWyO1ax_xg9uLV1AawZELHck9p41E&_nc_zt=23&_nc_ht=scontent-ord5-2.xx&_nc_gid=wtea1UR4bcktix5snZV6IA&oh=00_Afgu-JBay05Fei13BUBvc8BUS_E8JY3-qK1xKbwECaqWRg&oe=692F5515,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/567653858_1236843558486875_2914273605534335170_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_ohc=M8iDVm3OG0EQ7kNvwGLzWJ_&_nc_oc=AdlAGY6GyUN5KiLDBWuLEEH67sjPYERr5JqPIf0ZCl9v6ZEjzhOu4f1ueo3ljN_-wuk&_nc_zt=23&_nc_ht=scontent-ord5-1.xx&_nc_gid=wtea1UR4bcktix5snZV6IA&oh=00_AfhM-FE_dFbA_ZjI2WBps0PjB8hAW617KMRnxfHgkTrkqg&oe=692F5C6C"
"https://www.facebook.com/noeuxenv/posts/pfbid0CpXiHvrn2FN5jCVyrycjjuVhJg7CbhyQSn86RdRGyCEnzpdGrWgbpY5UTzwu92Z2l","🤝 Coopérer pour aller plus loin !
Hier soir, près de 90 entrepreneurs se sont retrouvés pour le 𝗕𝘂𝘀𝗶𝗻’𝗘𝗦𝗦#𝟵 : 𝗙𝗮𝗶𝘀𝗼𝗻𝘀 𝗿𝗲́𝘀𝗲𝗮𝘂 ! à La Réserve / Nœux Environnement - LE temps fort annuel porté par le Club Entrepreneurs ESS.

Cette soirée a été l’occasion d’échanges entre acteurs de l’économie sociale et solidaire. L’Agglomération soutient ces rencontres car elles permettent de renforcer le réseau économique et de dénicher des porteurs de projets prometteurs.

🆘 Pour vous faire accompagner dans vos projets ESS : www.bethunebruay.fr/index.php/fr/economie-sociale-et-solidaire
🔍 Pour en savoir plus sur le Club Entrepreneurs ESS ou y adhérer  : https://clubessartois.fr/","YES","18","","https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/566322345_1217063453787993_6780682174881824238_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=ZtIudycjf20Q7kNvwFnjOJg&_nc_oc=AdnsGnFb9mwcD-hNS-vVf9h8hDCoEZaAWkkb0UWJzTipZUbeJO1aLcF_uQgbZzWjCtI&_nc_zt=23&_nc_ht=scontent-atl3-2.xx&_nc_gid=6ShbNprPWQx3AB7aiqRiWA&oh=00_AfjugeNqYBUKuNOonKwZ2jXoYvEgTFB379-y7QrMOK-QaQ&oe=692F8558,https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-6/565700685_1217063473787991_802318601034766329_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=QXHlfFs2KKIQ7kNvwHlXFmB&_nc_oc=AdkID1q2qdpFrmvYIgtYEsWNratv8vpqj0L-JnZmVCbcITjmwfLdUlJHo4Ex_5zrnSg&_nc_zt=23&_nc_ht=scontent-atl3-3.xx&_nc_gid=6ShbNprPWQx3AB7aiqRiWA&oh=00_Afin077LlQtSFSG57TxiX2FN702dxOalv_SRusvgPMQj9Q&oe=692F5114"
